execution_family,variant_id,anchor_paper_n,anchor_task_n,paired_blocks_per_task,candidate_minus_F_operational_success,candidate_minus_F_private_score,candidate_success_rate,F_success_rate,candidate_score_mean,F_score_mean
alternate_reducers,dag_greedy_ratio_60_v1,4,4,6,0.16666666666666666,0.16666666666666666,0.4583333333333333,0.2916666666666667,0.6575520833333334,0.4908854166666667
alternate_reducers,source_window_ratio_60_v1,4,4,6,0.20833333333333334,0.171875,0.5416666666666666,0.3333333333333333,0.7044270833333333,0.5325520833333334
primary,primary_dag_ratio_60_v1,4,4,6,0.04166666666666667,0.08007812499999999,0.2916666666666667,0.25,0.4908854166666667,0.4108072916666667
structural_ladder,L0_primary_slice,4,4,6,0.20833333333333337,0.25,0.5,0.29166666666666663,0.7408854166666666,0.49088541666666663
structural_ladder,L1_mid_restore,4,4,6,0.20833333333333337,0.20833333333333337,0.5,0.29166666666666663,0.69921875,0.49088541666666663
structural_ladder,L2_near_full_strict,4,4,6,0.08333333333333334,0.11783854166666666,0.375,0.2916666666666667,0.6087239583333333,0.4908854166666667
