Paper,Input,Skill rubric,Skill coverage,Transfer readiness,Source support rate,Invalid ranges,Skill words,Evidence boundary
Toolformer,Curated source-anchored note,20/20,8.9/10,10/10,1,0,943,Curated note-to-skill case
Toolformer,Automatic extracted-text note scaffold,20/20,9.3/10,10/10,1,0,1179,Deterministic scaffold; must be audited
AIDE,Curated source-anchored note,20/20,9.1/10,10/10,1,0,927,Curated note-to-skill case
AIDE,Automatic extracted-text note scaffold,20/20,8.467/10,9.5/10,1,0,998,Deterministic scaffold; must be audited
