arm_id,rows,operational_success,hard_contract_failure,score_shortfall,technical_or_invalid,success_rate,mean_private_score,hard_vector_0_pass,hard_vector_1_pass,mean_elapsed_ms,mean_provider_total_tokens
F,8,4,3,0,1,0.5,0.699219,7,4,28138.5,5325.375
S,8,5,3,0,0,0.625,0.824219,8,5,24248.125,4583.875
F_drop_critical,8,3,4,0,1,0.375,0.574219,7,3,38613.375,5982.875
F_drop_noncritical,8,4,4,0,0,0.5,0.589844,7,4,26689.25,5189.125
S_restore_critical,8,2,6,0,0,0.25,0.449219,8,2,28721.0,4952.125
S_restore_noncritical,8,5,3,0,0,0.625,0.824219,8,5,24562.375,4457.25
