contrast_id,positive_arm,negative_arm,units,itt_units,valid_units,excluded_invalid_units,improved_units,worsened_units,unchanged_units,itt_improved_units,itt_worsened_units,itt_unchanged_units,valid_improved_units,valid_worsened_units,valid_unchanged_units,mean_delta_operational_success,itt_mean_delta_operational_success,valid_pair_mean_delta_operational_success,mean_delta_private_score,itt_mean_delta_private_score,valid_pair_mean_delta_private_score,two_sided_exact_sign_p,valid_pair_two_sided_exact_sign_p,interpretation
critical_necessity,F,F_drop_critical,8,8,7,1,1,0,7,1,0,7,1,0,6,0.125,0.125,0.142857,0.125,0.125,0.142857,1.0,1.0,positive delta means critical-atom removal harmed the full prompt
noncritical_necessity,F,F_drop_noncritical,8,8,7,1,1,1,6,1,1,6,1,0,6,0,0,0.142857,0.109375,0.109375,0.267857,1.0,1.0,positive delta means comparator removal harmed the full prompt
critical_rescue,S_restore_critical,S,8,8,8,0,0,3,5,0,3,5,0,3,5,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,0.25,0.25,positive delta means restoring the critical atom rescued the slice
noncritical_rescue,S_restore_noncritical,S,8,8,8,0,1,1,6,1,1,6,1,1,6,0,0,0,0.0,0.0,0.0,1.0,1.0,positive delta means restoring the comparator atom rescued the slice
