run_id,task_id,condition,task_score,success,runtime_seconds,peak_memory_mb,failure_reason,candidate_output,metric_path,artifact_dir
phase108_snapatac2_executable_artifact_followup,SNAP-T1,summary,1.0,True,1.296368,26.378289,,results/real_reuse/runs/SNAP-T1/summary/phase108_snapatac2_executable_artifact_followup/candidate_output.json,results/real_reuse/runs/SNAP-T1/summary/phase108_snapatac2_executable_artifact_followup/metric.json,results/real_reuse/runs/SNAP-T1/summary/phase108_snapatac2_executable_artifact_followup/artifacts
phase108_snapatac2_executable_artifact_followup,SNAP-T1,papertoskill,1.0,True,1.209319,26.338634,,results/real_reuse/runs/SNAP-T1/papertoskill/phase108_snapatac2_executable_artifact_followup/candidate_output.json,results/real_reuse/runs/SNAP-T1/papertoskill/phase108_snapatac2_executable_artifact_followup/metric.json,results/real_reuse/runs/SNAP-T1/papertoskill/phase108_snapatac2_executable_artifact_followup/artifacts
phase108_snapatac2_executable_artifact_followup,SNAP-T2,summary,1.0,True,1.75799,24.648565,,results/real_reuse/runs/SNAP-T2/summary/phase108_snapatac2_executable_artifact_followup/candidate_output.json,results/real_reuse/runs/SNAP-T2/summary/phase108_snapatac2_executable_artifact_followup/metric.json,results/real_reuse/runs/SNAP-T2/summary/phase108_snapatac2_executable_artifact_followup/artifacts
phase108_snapatac2_executable_artifact_followup,SNAP-T2,papertoskill,1.0,True,1.756513,24.758577,,results/real_reuse/runs/SNAP-T2/papertoskill/phase108_snapatac2_executable_artifact_followup/candidate_output.json,results/real_reuse/runs/SNAP-T2/papertoskill/phase108_snapatac2_executable_artifact_followup/metric.json,results/real_reuse/runs/SNAP-T2/papertoskill/phase108_snapatac2_executable_artifact_followup/artifacts
