profile_id,total_b_max,total_f_min,total_s_min,total_margin_min,registry_b_max,registry_f_min,registry_s_min,registry_margin_min,margin_tolerance,admit_tasks,reject_tasks,invalid_tasks,changed_task_count,changed_task_ids,registered_profile
margin_tolerance_0.000,1,5,5,5,1,2,2,2,0.0,2,22,0,0,[],False
margin_tolerance_0.025,1,5,5,5,1,2,2,2,0.025,2,22,0,0,[],False
margin_tolerance_0.050,1,5,5,5,1,2,2,2,0.05,2,22,0,0,[],True
margin_tolerance_0.075,1,5,5,5,1,2,2,2,0.075,2,22,0,0,[],False
margin_tolerance_0.100,1,5,5,5,1,2,2,2,0.1,2,22,0,0,[],False
